2024-04-10 14:05:21 upgrade perl-base:armhf 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2024-04-10 14:05:21 status half-configured perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:21 status unpacked perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:21 status half-installed perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:21 status unpacked perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:21 install procps:armhf <none> 2:3.3.17-6ubuntu2
2024-04-10 14:05:21 status half-installed procps:armhf 2:3.3.17-6ubuntu2
2024-04-10 14:05:21 status unpacked procps:armhf 2:3.3.17-6ubuntu2
2024-04-10 14:05:21 install sed:armhf <none> 4.8-1ubuntu2
2024-04-10 14:05:21 status half-installed sed:armhf 4.8-1ubuntu2
2024-04-10 14:05:21 status unpacked sed:armhf 4.8-1ubuntu2
2024-04-10 14:05:21 install sensible-utils:all <none> 0.0.17
2024-04-10 14:05:21 status half-installed sensible-utils:all 0.0.17
2024-04-10 14:05:21 status unpacked sensible-utils:all 0.0.17
2024-04-10 14:05:21 install sysvinit-utils:armhf <none> 3.01-1ubuntu1
2024-04-10 14:05:21 status half-installed sysvinit-utils:armhf 3.01-1ubuntu1
2024-04-10 14:05:21 status unpacked sysvinit-utils:armhf 3.01-1ubuntu1
2024-04-10 14:05:21 install tar:armhf <none> 1.34+dfsg-1build3
2024-04-10 14:05:21 status half-installed tar:armhf 1.34+dfsg-1build3
2024-04-10 14:05:21 status unpacked tar:armhf 1.34+dfsg-1build3
2024-04-10 14:05:21 install usrmerge:all <none> 25ubuntu2
2024-04-10 14:05:21 status half-installed usrmerge:all 25ubuntu2
2024-04-10 14:05:21 status unpacked usrmerge:all 25ubuntu2
2024-04-10 14:05:21 install util-linux:armhf <none> 2.37.2-4ubuntu3
2024-04-10 14:05:21 status half-installed util-linux:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:21 status unpacked util-linux:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:21 install zlib1g:armhf <none> 1:1.2.11.dfsg-2ubuntu9
2024-04-10 14:05:21 status half-installed zlib1g:armhf 1:1.2.11.dfsg-2ubuntu9
2024-04-10 14:05:21 status unpacked zlib1g:armhf 1:1.2.11.dfsg-2ubuntu9
2024-04-10 14:05:21 startup packages configure
2024-04-10 14:05:21 configure lsb-base:all 11.1.0ubuntu4 <none>
2024-04-10 14:05:21 status unpacked lsb-base:all 11.1.0ubuntu4
2024-04-10 14:05:21 status half-configured lsb-base:all 11.1.0ubuntu4
2024-04-10 14:05:21 status installed lsb-base:all 11.1.0ubuntu4
2024-04-10 14:05:21 configure libtirpc-common:all 1.3.2-2build1 <none>
2024-04-10 14:05:21 status unpacked libtirpc-common:all 1.3.2-2build1
2024-04-10 14:05:21 status half-configured libtirpc-common:all 1.3.2-2build1
2024-04-10 14:05:21 status installed libtirpc-common:all 1.3.2-2build1
2024-04-10 14:05:21 configure libaudit-common:all 1:3.0.7-1build1 <none>
2024-04-10 14:05:21 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:05:21 status half-configured libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:05:21 status installed libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:05:21 configure libsemanage-common:all 3.3-1build2 <none>
2024-04-10 14:05:21 status unpacked libsemanage-common:all 3.3-1build2
2024-04-10 14:05:21 status half-configured libsemanage-common:all 3.3-1build2
2024-04-10 14:05:21 status installed libsemanage-common:all 3.3-1build2
2024-04-10 14:05:21 configure gcc-12-base:armhf 12-20220319-1ubuntu1 <none>
2024-04-10 14:05:21 status unpacked gcc-12-base:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:21 status half-configured gcc-12-base:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:21 status installed gcc-12-base:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:21 configure ncurses-base:all 6.3-2 <none>
2024-04-10 14:05:21 status unpacked ncurses-base:all 6.3-2
2024-04-10 14:05:21 status half-configured ncurses-base:all 6.3-2
2024-04-10 14:05:21 status installed ncurses-base:all 6.3-2
2024-04-10 14:05:21 configure sensible-utils:all 0.0.17 <none>
2024-04-10 14:05:21 status unpacked sensible-utils:all 0.0.17
2024-04-10 14:05:21 status half-configured sensible-utils:all 0.0.17
2024-04-10 14:05:21 status installed sensible-utils:all 0.0.17
2024-04-10 14:05:21 configure libcrypt1:armhf 1:4.4.27-1 <none>
2024-04-10 14:05:21 status unpacked libcrypt1:armhf 1:4.4.27-1
2024-04-10 14:05:21 status half-configured libcrypt1:armhf 1:4.4.27-1
2024-04-10 14:05:21 status installed libcrypt1:armhf 1:4.4.27-1
2024-04-10 14:05:21 configure libgcc-s1:armhf 12-20220319-1ubuntu1 <none>
2024-04-10 14:05:21 status unpacked libgcc-s1:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:21 status half-configured libgcc-s1:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:21 status installed libgcc-s1:armhf 12-20220319-1ubuntu1
2024-04-10 14:05:21 configure libc6:armhf 2.35-0ubuntu3 <none>
2024-04-10 14:05:21 status unpacked libc6:armhf 2.35-0ubuntu3
